Survived,Pclass,SibSp,Parch,Fare,Age_mean_uni,Fare_dbscan,Sex_enc,Embarked_enc,initial_Mr,initial_Mrs,initial_Miss,initial_Master,initial_Honorific,initial_Notable,young_adult,adult,elderly,child
0,3,1,0,7.25,22.0,7.25,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,0,71.2833,38.0,71.2833,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,3,0,0,7.925,26.0,7.925,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,0,53.1,35.0,53.1,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,8.05,35.0,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,8.4583,29.69911764705882,8.4583,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,51.8625,54.0,51.8625,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,3,1,21.075,2.0,21.075,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,0,2,11.1333,27.0,11.1333,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,2,1,0,30.0708,14.0,30.0708,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,3,1,1,16.7,4.0,16.7,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,26.55,58.0,26.55,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,0,0,8.05,20.0,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,1,5,31.275,39.0,31.275,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.8542,14.0,7.8542,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,0,0,16.0,55.0,16.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,3,4,1,29.125,2.0,29.125,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,0,0,13.0,29.69911764705882,13.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,1,0,18.0,31.0,18.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,3,0,0,7.225,29.69911764705882,7.225,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2,0,0,26.0,35.0,26.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,0,0,13.0,34.0,13.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,3,0,0,8.0292,15.0,8.0292,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,35.5,28.0,35.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,3,1,21.075,8.0,21.075,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,1,5,31.3875,38.0,31.3875,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.225,29.69911764705882,7.225,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,3,2,263.0,19.0,263.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.8792,29.69911764705882,7.8792,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.8958,29.69911764705882,7.8958,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,27.7208,40.0,27.7208,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,0,146.5208,29.69911764705882,146.5208,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.75,29.69911764705882,7.75,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,0,0,10.5,66.0,10.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,0,82.1708,28.0,82.1708,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,1,0,52.0,42.0,52.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,3,0,0,7.2292,29.69911764705882,7.2292,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.05,21.0,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,2,0,18.0,18.0,18.0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,1,0,11.2417,14.0,11.2417,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,1,0,9.475,40.0,9.475,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,2,1,0,21.0,27.0,21.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.8958,29.69911764705882,7.8958,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,1,2,41.5792,3.0,41.5792,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,0,0,7.8792,19.0,7.8792,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.05,29.69911764705882,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,1,0,15.5,29.69911764705882,15.5,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.75,29.69911764705882,7.75,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,2,0,21.6792,29.69911764705882,21.6792,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,1,0,17.8,18.0,17.8,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,3,4,1,39.6875,7.0,39.6875,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,0,7.8,21.0,7.8,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,0,76.7292,49.0,76.7292,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,2,1,0,26.0,29.0,26.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,0,1,61.9792,65.0,61.9792,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,0,35.5,29.69911764705882,35.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,0,0,10.5,21.0,10.5,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.2292,28.5,7.2292,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,1,2,27.75,5.0,27.75,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,5,2,46.9,11.0,46.9,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,0,7.2292,22.0,7.2292,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,0,80.0,38.0,80.0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,1,0,83.475,45.0,83.475,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,3,2,27.9,4.0,27.9,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,0,27.7208,29.69911764705882,27.7208,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,1,1,15.2458,29.69911764705882,15.2458,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,0,0,10.5,29.0,10.5,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.1583,19.0,8.1583,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,4,2,7.925,17.0,7.925,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,2,0,8.6625,26.0,8.6625,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,0,0,10.5,32.0,10.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,5,2,46.9,16.0,46.9,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,0,0,73.5,21.0,73.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,1,0,14.4542,26.0,14.4542,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,56.4958,32.0,56.4958,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.65,25.0,7.65,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.8958,29.69911764705882,7.8958,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.05,29.69911764705882,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,0,2,29.0,0.83,29.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,0,0,12.475,30.0,12.475,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,9.0,22.0,9.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,9.5,29.0,9.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.7875,29.69911764705882,7.7875,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,47.1,28.0,47.1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,0,0,10.5,17.0,10.5,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,3,0,15.85,33.0,15.85,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,3,1,3,34.375,16.0,34.375,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,0,8.05,29.69911764705882,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,3,2,263.0,23.0,263.0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.05,24.0,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.05,29.0,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.8542,20.0,7.8542,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,1,0,61.175,46.0,61.175,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,1,2,20.575,26.0,20.575,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.25,59.0,7.25,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,0,0,8.05,29.69911764705882,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,34.6542,71.0,34.6542,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,1,63.3583,23.0,63.3583,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,0,1,23.0,34.0,23.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,2,1,0,26.0,34.0,26.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.8958,28.0,7.8958,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.8958,29.69911764705882,7.8958,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,1,77.2875,21.0,77.2875,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.6542,33.0,8.6542,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,2,0,7.925,37.0,7.925,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.8958,28.0,7.8958,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.65,21.0,7.65,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.775,29.69911764705882,7.775,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.8958,38.0,7.8958,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,3,1,0,24.15,29.69911764705882,24.15,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,52.0,47.0,52.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,1,0,14.4542,14.5,14.4542,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,0,8.05,22.0,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,1,0,9.825,20.0,9.825,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,14.4583,17.0,14.4583,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.925,21.0,7.925,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,7.75,70.5,7.75,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2,1,0,21.0,29.0,21.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,1,247.5208,24.0,247.5208,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,4,2,31.275,2.0,31.275,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,2,0,73.5,21.0,73.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.05,29.69911764705882,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,1,0,30.0708,32.5,30.0708,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,0,0,13.0,32.5,13.0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0,1,77.2875,54.0,77.2875,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,1,0,11.2417,12.0,11.2417,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,0,7.75,29.69911764705882,7.75,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.1417,24.0,7.1417,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,1,1,22.3583,29.69911764705882,22.3583,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,6.975,45.0,6.975,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.8958,33.0,7.8958,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.05,20.0,7.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,1,0,14.5,47.0,14.5,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,2,1,0,26.0,29.0,26.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2,0,0,13.0,25.0,13.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,0,0,15.0458,23.0,15.0458,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,2,26.2833,19.0,26.2833,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,1,0,53.1,37.0,53.1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,9.2167,16.0,9.2167,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,0,79.2,24.0,79.2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,2,15.2458,29.69911764705882,15.2458,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.75,22.0,7.75,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,1,0,15.85,24.0,15.85,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,6.75,19.0,6.75,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,0,0,11.5,18.0,11.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,1,1,36.75,19.0,36.75,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7.7958,27.0,7.7958,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,2,2,34.375,9.0,34.375,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,0,2,26.0,36.5,26.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2,0,0,13.0,42.0,13.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2,0,0,12.525,51.0,12.525,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,1,0,66.6,22.0,66.6,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.05,55.5,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,0,2,14.5,40.5,14.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.3125,29.69911764705882,7.3125,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,1,61.3792,51.0,61.3792,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,0,0,7.7333,16.0,7.7333,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,0,8.05,30.0,8.05,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.6625,29.69911764705882,8.6625,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,8,2,69.55,29.69911764705882,69.55,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,1,16.1,44.0,16.1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,0,0,15.75,40.0,15.75,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,3,0,0,7.775,26.0,7.775,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,8.6625,17.0,8.6625,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,4,1,39.6875,1.0,39.6875,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,0,2,20.525,9.0,20.525,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,1,55.0,29.69911764705882,55.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,3,1,4,27.9,45.0,27.9,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1,0,0,25.925,29.69911764705882,25.925,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,0,0,56.4958,28.0,56.4958,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,33.5,61.0,33.5,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,4,1,29.125,4.0,29.125,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,1,1,11.1333,1.0,11.1333,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,0,7.925,21.0,7.925,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,30.6958,56.0,30.6958,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
